snapshot_date,tier_min,tier_max,holders,shares,pct
2026-04-30,1,999,191466.0,44596344.0,2.05
2026-04-30,1000,5000,117826.0,219778277.0,10.15
2026-04-30,5001,10000,11228.0,85115582.0,3.93
2026-04-30,10001,15000,3313.0,41842046.0,1.93
2026-04-30,15001,20000,1868.0,33835206.0,1.56
2026-04-30,20001,30000,1651.0,41468858.0,1.91
2026-04-30,30001,40000,779.0,27571580.0,1.27
2026-04-30,40001,50000,469.0,21706184.0,1.0
2026-04-30,50001,100000,816.0,57816904.0,2.67
2026-04-30,100001,200000,378.0,53213864.0,2.45
2026-04-30,200001,400000,217.0,62228695.0,2.87
2026-04-30,400001,600000,81.0,39751083.0,1.83
2026-04-30,600001,800000,49.0,33785858.0,1.56
2026-04-30,800001,1000000,43.0,38939032.0,1.79
2026-04-30,1000001,1000000000000,193.0,1363405223.0,62.97
2026-05-08,1,999,187848.0,43758934.0,2.02
2026-05-08,1000,5000,113732.0,212186202.0,9.8
2026-05-08,5001,10000,10867.0,82342503.0,3.8
2026-05-08,10001,15000,3181.0,40198805.0,1.85
2026-05-08,15001,20000,1826.0,33031165.0,1.52
2026-05-08,20001,30000,1610.0,40511038.0,1.87
2026-05-08,30001,40000,743.0,26327873.0,1.21
2026-05-08,40001,50000,456.0,21065922.0,0.97
2026-05-08,50001,100000,781.0,55429962.0,2.56
2026-05-08,100001,200000,368.0,51672388.0,2.38
2026-05-08,200001,400000,220.0,62409308.0,2.88
2026-05-08,400001,600000,81.0,39620133.0,1.82
2026-05-08,600001,800000,50.0,34548592.0,1.59
2026-05-08,800001,1000000,40.0,36028424.0,1.66
2026-05-08,1000001,1000000000000,195.0,1385911747.0,64.01
2026-05-15,1,999,185568.0,43204653.0,1.99
2026-05-15,1000,5000,111910.0,208839197.0,9.64
2026-05-15,5001,10000,10703.0,81117341.0,3.74
2026-05-15,10001,15000,3155.0,39837106.0,1.84
2026-05-15,15001,20000,1790.0,32372287.0,1.49
2026-05-15,20001,30000,1581.0,39714508.0,1.83
2026-05-15,30001,40000,737.0,26100440.0,1.2
2026-05-15,40001,50000,461.0,21232322.0,0.98
2026-05-15,50001,100000,779.0,54990901.0,2.53
2026-05-15,100001,200000,368.0,51618789.0,2.38
2026-05-15,200001,400000,224.0,63797718.0,2.94
2026-05-15,400001,600000,78.0,37938765.0,1.75
2026-05-15,600001,800000,48.0,33378668.0,1.54
2026-05-15,800001,1000000,40.0,36269565.0,1.67
